"Provider Name","Provider City","Hospital Referral Region Description","Avg_Discharges","Total_Avg_Cov_Charges","Total_Avg_Payments","Total_Avge_Medicare_Payments"
"JOHNS HOPKINS HOSPITAL, THE","BALTIMORE","MD - Baltimore",57.7553191489362,2260077.93,2131830.94,1938585.11
"STANFORD HOSPITAL","STANFORD","CA - San Mateo County",43.9195402298851,12077222.53,2118866.22,2023322.68
"MAIMONIDES MEDICAL CENTER","BROOKLYN","NY - Manhattan",80.7395833333333,5736855.14,1873606.92,1758178.75
"UCSF MEDICAL CENTER","SAN FRANCISCO","CA - San Francisco",39.05,7953621.75,1869176.94,1718576.45
"NEW YORK-PRESBYTERIAN HOSPITAL","NEW YORK","NY - Manhattan",170.040404040404,5016884.53,1798897.66,1638353.58
"MONTEFIORE MEDICAL CENTER","BRONX","NY - Bronx",123.272727272727,5555814.49,1796939.71,1674150.99
"UNIVERSITY OF MARYLAND MEDICAL CENTER","BALTIMORE","MD - Baltimore",50.956043956044,1886574.1,1780189.93,1621866.89
"MOUNT SINAI HOSPITAL","NEW YORK","NY - Manhattan",109.181818181818,3606878.01,1755842.19,1582468.3
"JACKSON MEMORIAL HOSPITAL","MIAMI","FL - Miami",49.0744680851064,4539586.39,1736798.02,1646344.16
"WESTCHESTER MEDICAL CENTER","VALHALLA","NY - White Plains",26.68,6923467.42,1723670.47,1611097.78
"CEDARS-SINAI MEDICAL CENTER","LOS ANGELES","CA - Los Angeles",101.77,12279084.93,1685160.09,1546089.88
"UNIVERSITY OF MICHIGAN HEALTH SYSTEM","ANN ARBOR","MI - Ann Arbor",72.8350515463918,4095808.71,1677346.77,1369548.68
"BETH ISRAEL MEDICAL CENTER","NEW YORK","NY - Manhattan",105,4807519.52,1673780.17,1558341.45
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","SACRAMENTO","CA - Sacramento",41.4470588235294,9885191.96,1667544.38,1566465.44
"YALE-NEW HAVEN HOSPITAL","NEW HAVEN","CT - New Haven",87.5,5360325.4,1645618.45,1439041.09
"BOSTON MEDICAL CENTER CORPORATION","BOSTON","MA - Boston",49.0851063829787,2353034.99,1643798.34,1556678.11
"UNIVERSITY HOSPITAL ( STONY BROOK )","STONY BROOK","NY - East Long Island",59.2448979591837,4828657.63,1614927.69,1460381.72
"ST LUKE'S ROOSEVELT HOSPITAL","NEW YORK","NY - Manhattan",64.5376344086021,4322506.2,1586535.15,1480097.98
"RONALD REAGAN UCLA MEDICAL CENTER","LOS ANGELES","CA - Los Angeles",32.3768115942029,5413738.57,1564525.61,1479471.66
"LUTHERAN MEDICAL CENTER","BROOKLYN","NY - Manhattan",46.5568181818182,2129342.51,1546024.07,1465256.86
"LONG ISLAND JEWISH MEDICAL CENTER","NEW HYDE PARK","NY - East Long Island",62.5483870967742,4816543.95,1545958.84,1418720
"NYU HOSPITALS CENTER","NEW YORK","NY - Manhattan",68.2371134020619,5794563.82,1541433.35,1370147.22
"BETH ISRAEL DEACONESS MEDICAL CENTER","BOSTON","MA - Boston",72.86,2563462.53,1508720.29,1399776.58
"UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","GALVESTON","TX - Houston",27.2898550724638,2338799.46,1505363.5,1440082.07
"UMASS MEMORIAL MEDICAL CENTER INC","WORCESTER","MA - Worcester",87.31,3733693.47,1504457.65,1353126.77
"ALBERT EINSTEIN MEDICAL CENTER","PHILADELPHIA","PA - Philadelphia",44.8953488372093,4992225.63,1480963.42,1394138.52
"UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY","MADISON","WI - Madison",43.0112359550562,3188498.27,1475662.81,1289685.82
"MASSACHUSETTS GENERAL HOSPITAL","BOSTON","MA - Boston",93.49,5295017.12,1474217.62,1360852.01
"BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA - Boston",69.6868686868687,5252485.81,1473213.62,1363083.95
"MEDICAL COLLEGE OF VIRGINIA HOSPITALS","RICHMOND","VA - Richmond",44.0941176470588,4077122.32,1460764.88,1177249.5
"NORTH SHORE UNIVERSITY HOSPITAL","MANHASSET","NY - East Long Island",116.3,5488849.85,1449310.18,1270240.8
"TUFTS MEDICAL CENTER","BOSTON","MA - Boston",36.8953488372093,2955350.27,1443897.88,1344137.38
"NORTHWESTERN MEMORIAL HOSPITAL","CHICAGO","IL - Chicago",83.9090909090909,5482458.63,1428070.33,1225584.76
"INDIANA UNIVERSITY HEALTH","INDIANAPOLIS","IN - Indianapolis",90.7142857142857,4337105.43,1426549.38,1172678.22
"LOMA LINDA UNIVERSITY MEDICAL CENTER","LOMA LINDA","CA - San Bernardino",40,5430441.51,1425603.13,1345452.52
"UNIVERSITY OF VIRGINIA MEDICAL CENTER","CHARLOTTESVILLE","VA - Charlottesville",53.3,3887241.02,1424308.14,1235634.33
"DUKE UNIVERSITY HOSPITAL","DURHAM","NC - Durham",67.9484536082474,3863244.69,1417727.48,1288136.83
"UNIVERSITY OF NORTH CAROLINA HOSPITAL","CHAPEL HILL","NC - Durham",54.3406593406593,2436805.01,1412987.5,1316388.04
"NORTH CAROLINA BAPTIST HOSPITAL","WINSTON-SALEM","NC - Winston-Salem",77.7628865979381,2720207.73,1411220.64,1296956.16
"LENOX HILL HOSPITAL","NEW YORK","NY - Manhattan",58.2395833333333,6745754.2,1396971.73,1256172.44
"UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE )","BROOKLYN","NY - Manhattan",38.2465753424658,1841173.07,1390888.41,1317336.64
"JOHNS HOPKINS BAYVIEW MEDICAL CENTER","BALTIMORE","MD - Baltimore",50.3478260869565,1475101.22,1390051.57,1269296.21
"SINAI HOSPITAL OF BALTIMORE","BALTIMORE","MD - Baltimore",62.3510638297872,1471059.64,1388270.34,1272674.87
"UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER","SAN DIEGO","CA - San Diego",37.8875,3619648.76,1386811.01,1323978.75
"RHODE ISLAND HOSPITAL","PROVIDENCE","RI - Providence",58.7979797979798,3796960.87,1383662.3,1270303.52
"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","SAN FRANCISCO","CA - San Francisco",36.5512820512821,6530986.15,1381266.3,1273838.97
"HOSPITAL OF UNIV OF PENNSYLVANIA","PHILADELPHIA","PA - Philadelphia",42.4494382022472,7329838.34,1365329.01,1260540.42
"ALTA BATES SUMMIT MEDICAL CENTER","OAKLAND","CA - Alameda County",40.8488372093023,7193183.84,1364261.36,1273338.88
"UNIVERSITY HOSPITAL, INC","CINCINNATI","OH - Cincinnati",43.8409090909091,3229347.26,1362295.89,1258875.73
"MEMORIAL HERMANN TEXAS MEDICAL CENTER","HOUSTON","TX - Houston",38.7228915662651,4283511.34,1359773.79,1194822.4
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW","MINNEAPOLIS","MN - Minneapolis",38.025974025974,3991621.77,1359095.08,1208313.62
"SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA","GAINESVILLE","FL - Gainesville",63.1702127659574,3432310.47,1353554.42,1238576.99
"FLETCHER ALLEN HOSPITAL OF VERMONT","BURLINGTON","VT - Burlington",49.6774193548387,2253684.49,1353207.03,1220827.61
"MILTON S HERSHEY MEDICAL CENTER","HERSHEY","PA - Harrisburg",39.0454545454545,3286085.66,1351040.57,1148324.72
"HARTFORD HOSPITAL","HARTFORD","CT - Hartford",80.9591836734694,3393403.94,1345241.9,1215235.65
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE","TUCSON","AZ - Tucson",30.6024096385542,4119150.46,1342322.97,1231167.9
"ST JOSEPH'S REGIONAL MEDICAL CENTER","PATERSON","NJ - Paterson",74.4387755102041,6977883.87,1338210.73,1242346.07
"UNIVERSITY OF KENTUCKY HOSPITAL","LEXINGTON","KY - Lexington",50.4574468085106,3633738.14,1335226.48,1183823.55
